name, mean
microbenchmark*, 5.00
product-photos-receive*, 2.47
product-master-photos*, 2.68
product-master-request, 2.66
product-photos-assign, 1.43
product-photos-message, 1.42
product-photos-record, 1.125
product-photos-success, 0.92
product-photos-report, 1
product-purchase-authenticate, 1.025
product-purchase-getprice, 1.52
product-purchase-authorize-cc, 1.16
product-purchase-publish, 1.06
product-catalog-api-categories, 1.02
product-catalog-api-products, 1
product-catalog-builder-image, 0.98
product-catalog-builder-product, 0.916
